Company_Name,Founder_Name,Founder_linkedin_id,No_of_Employees,Funding_Type,Year_Founded,Software_Type,Industry_Type,Category,Size_of_Company,Company_Website,Company_Linkedin_id,City,Address,Short_Desription
3dMD,Kelly Duncan,https://www.linkedin.com/in/kelduncan/,11-50 employees,Self-funded,2000,B2B SaaS,Horizontal,On-Demand Services,Small,www.3dmd.com,https://www.linkedin.com/company/3dmd/about/,Atlanta,"3200 Cobb Galleria Parkway # 203, Atlanta, Georgia 30339 USA",Anatomically-precise 3D and 4D surface imaging systems
86Borders,Michael McChesney,https://www.linkedin.com/in/mmcchesney/,11-50 employees,VC-funded,2014,B2B SaaS,Horizontal,Communications,Small,86borders.com,https://www.linkedin.com/company/86borders/about/,Atlanta,"Atlanta, GA","Browser-based video, voice chat and screen sharing"
Absolute E,Srini Centhala,https://www.linkedin.com/in/srini-centhala-590a383/,11-50 employees,Self-funded,1999,B2B SaaS,Horizontal,Analytics and BI,Small,www.absolut-e.com,https://www.linkedin.com/company/absolut-e-data-com/about/,Atlanta,"820 Sheridan Ridge Court, Alpharetta, GA 30022, USA.",AI-based business intelligence platform
Absolute Value,Mary Triggs Lanham,https://www.linkedin.com/in/mary-triggs-lanham-741959/,11-50 employees,Self-funded,2010,B2B SaaS,Horizontal,Business Mgt and ERP,Small,absolutevalue-us.com,https://www.linkedin.com/company/absolute-value/about/,Atlanta,"Norcross, GA",Supply chain planning software and POS data analytics
accessnow,Francesco Quinterno,https://www.linkedin.com/in/fquinterno/,1-10 employees,Self-funded,2010,B2B SaaS,Horizontal,Compliance,Startup,www.accessnowusa.com,https://www.linkedin.com/company/accessnow-usa-llc/about/,Atlanta,"611 Timm Valley Road NE, Atlanta, GA 30305",Privileged Access Application for Salesforce
Accord Systems,David Essary,https://www.linkedin.com/in/david-essary-89088b8/,11-50 employees,Self-funded,2015,B2B SaaS,Healthcare,Compliance,Small,www.accord-aca.com,https://www.linkedin.com/company/accord-systems/about/,Atlanta,"Alpharetta, GA","ACA compliance reporting, tracking, and filing"
ACE Dental Software,John Hastings,https://www.linkedin.com/in/john-hastings-34994223/,11-50 employees,Self-funded,1989,B2B SaaS,Healthcare,Practice Management,Small,www.ace-dental.com,https://www.linkedin.com/company/ace-dental-software/about/,Atlanta,"Atlanta, GA",Dental practice management software
AchieveIt,Christy Johnson,https://www.linkedin.com/in/cjohnsonatlanta/,11-50 employees,VC-funded,2010,B2B SaaS,Horizontal,Business Mgt and ERP,Small,www.achieveit.com,https://www.linkedin.com/company/achieveit/about/,Atlanta,"Atlanta, GA",Integrated Plan Management software
Acivilate,Louise Wasilewski,https://www.linkedin.com/in/lwasilewski/,1-10 employees,Angel or Seed Funding,2014,B2B SaaS,Legal,Practice Management,Startup,acivilate.com,https://www.linkedin.com/company/acivilate-inc/about/,Atlanta,"Atlanta, GA",SaaS platform for recidivism management and reduction
ACOM Health,Julie Bock,https://www.linkedin.com/in/julie-bock-93900b43/,11-50 employees,Self-funded,1983,B2B SaaS,Healthcare,Practice Management,Small,www.acomhealth.com,https://www.linkedin.com/company/acom-health/about/,Atlanta,"2455 Meadowbrook Pkwy NW , Duluth, GA 30096, US",Chiropractic Billing & EHR Software for clinics
Acoustic,Dennis Self,https://www.linkedin.com/in/deself/,1001-5000 employees,Self-funded,2019,B2B SaaS,Horizontal,Sales and Marketing,Large,www.acoustic.com,https://www.linkedin.com/company/goacoustic/about/,Atlanta,"115 Perimeter Center place, 7th Floor, Atlanta, GA",Marketing task automation
Activ Technologies,Jaymie Forrest,https://www.linkedin.com/in/jaymie-forrest-06245713/,11-50 employees,Angel or Seed Funding,2012,B2B SaaS,Horizontal,Logistics and Supply Chain,Small,activtech.com,https://www.linkedin.com/company/activ-technologies-inc-/about/,Atlanta,"2472 Jett Ferry Rd Ste 400 # 183, Atlanta, GA 30338",End-to-end supply chain management
"Adaptigent, formerly GT Software",Caleb Clarke,https://www.linkedin.com/in/calebclarkeiv/,51-200 employees,Self-funded,1982,B2B SaaS,Horizontal,IT Mgt,Medium,www.adaptigent.com,https://www.linkedin.com/company/adaptigent/about/,Atlanta,"6255 Barfield Road NE, Suite 200, Atlanta, GA 30328",Mainframe infrastructure management
Aderant,Deane Speer Price,https://www.linkedin.com/in/deane-speer-price-6349976/,501-1000 employees,Acquired,1978,B2B SaaS,Legal,Practice Management,Large,www.aderant.com,https://www.linkedin.com/company/aderant/about/,Atlanta,"500 Northridge Road, Suite 800, Atlanta, GA 30350",Practice management software for law firms
AdminiTrack,Krishen Kota,https://www.linkedin.com/in/krishenkota/,11-50 employees,Self-funded,2000,B2B SaaS,Horizontal,Business Mgt and ERP,Small,www.adminitrack.com,https://www.linkedin.com/company/adminitrack-com/about/,Atlanta,"2221 Peachtree Rd NE, Suite D-629, Atlanta, GA 30309",Issue tracking for cross-departmental professionals
ADP,Gus Blanchard,https://www.linkedin.com/in/gus-blanchard/,"10,001+ employees",Public,1949,B2B SaaS,Horizontal,Accounting and Finance,Large,www.adp.com,https://www.linkedin.com/company/adp/about/,Atlanta,"1155 Perimeter Center West, Alpharetta, GA 30338",HR and payroll software
Advanced Control Systems,Kevin Sullivan,https://www.linkedin.com/in/kevinsullivan2/,1001-5000 employees,Self-funded,1975,B2B SaaS,"Energy, Gas, Oil, Utilities",Business Mgt and ERP,Large,www.acspower.com,https://www.linkedin.com/company/advancedcontrolsystems/about/,Atlanta,"Norcross, GA",Utility business management platform
AEC360,Whit McIsaac,https://www.linkedin.com/in/whit-mcisaac-0774ba3/,11-50 employees,Acquired,2005,B2B SaaS,Construction,Business Mgt and ERP,Small,aec360.com,https://www.linkedin.com/company/aec360/about/,Atlanta,"137 Johnson Ferry Road, Suite 2240, Marietta, Atlanta, GA 30068","Solution for architects, engineers, construction"
Agentek,Milo Hall,https://www.linkedin.com/in/milo-hall-4576428/,51-200 employees,VC-funded,1995,B2B SaaS,Horizontal,Logistics and Supply Chain,Medium,www.agentek.com,https://www.linkedin.com/company/agentek-inc./about/,Atlanta,"Alpharetta, GA",Field team communications platform
Agilysys,Ramesh Srinivasan,https://www.linkedin.com/in/agilysysceo/,1001-5000 employees,Public,1963,B2B SaaS,"Entertainment, Hospitality, Travel",Business Mgt and ERP,Large,www.agilysys.com,https://www.linkedin.com/company/agilysys/about/,Atlanta,"1000 Windward Concourse, Suite 250, Alpharetta, GA 30005",Contactless guest management software
Allbound,Daniel Graff-Redford,https://www.linkedin.com/in/daniel-graff-radford-93899/,11-50 employees,VC-funded,2014,B2B SaaS,Horizontal,Sales and Marketing,Small,www.allbound.com,https://www.linkedin.com/company/allbound/about/,Atlanta,"3411 Pierce Dr, Chamblee, GA 30341",Partner sales acceleration platform
Ally Commerce,Craig Haynor,https://www.linkedin.com/in/craighaynor/,51-200 employees,VC-funded,2014,B2B SaaS,Horizontal,Ecommerce,Medium,allycommerce.com,https://www.linkedin.com/company/allycommerce/about/,Atlanta,"5500 Interstate N. Pkwy., Suite 300, Atlanta, GA 30328",Direct to consumer eCommerce platform
ALM,Bill Carter,https://www.linkedin.com/in/billmcarter/,501-1000 employees,Acquired,1998,B2B SaaS,Horizontal,Analytics and BI,Large,www.alm.com,https://www.linkedin.com/company/alm/about/,Atlanta,"260 Peachtree St NW, Atlanta, GA 30303",Analytics software
Alora Healthcare Systems,Sathish John,https://www.linkedin.com/in/sathish-j-a67a492b/,11-50 employees,Self-funded,2005,B2B SaaS,Healthcare,Practice Management,Small,www.alorahealth.com,https://www.linkedin.com/company/alora-healthcare-systems/about/,Atlanta,"3455 Peachtree Rd NE, Suite 500, Atlanta, Georgia 30326, US",Home Health Software
American Megatrends (AMI),Sanjoy Maity,https://www.linkedin.com/in/sanjoy-maity-52b70ab/,1001-5000 employees,Private Equity funding,1985,B2B SaaS,Horizontal,IT Mgt,Large,www.ami.com,https://www.linkedin.com/company/ami/about/,Atlanta,"3095 Satellite Boulevard, Building 800, Suite 425, Duluth, Georgia 30096",Firmware
AMP Sport,David Nichols,https://www.linkedin.com/in/david-nichols-457b4737/,11-50 employees,Angel or Seed Funding,2014,B2B SaaS,Healthcare,Practice Management,Small,amprecover.com,https://www.linkedin.com/company/amprecover/about/,Atlanta,"675 Ponce De Leon Avenue NE, #8500, Atlanta, GA 30308",Tele-rehab software for physical therapy and orthopedic medicine
AnswerRocket,Alon Goren,https://www.linkedin.com/in/alon-goren-87889681/,11-50 employees,Self-funded,2013,B2B SaaS,Horizontal,Analytics and BI,Small,answerrocket.com,https://www.linkedin.com/company/3641823/about/,Atlanta,"5775 Glenridge Dr, Building B, Suite 450 , Atlanta, Georgia 30328,",Natural language search-powered analytics for business
Anvizent,Raj Koneru,https://www.linkedin.com/in/raj-koneru-6136671/,201-500 employees,Self-funded,2015,B2B SaaS,Horizontal,Analytics and BI,Medium,www.anvizent.com,https://www.linkedin.com/company/anvizent/about/,Atlanta,"2300 Holcomb Bridge Rd., Suite 103#109, Roswell, GA 30076",Automated data analytics solution for ERP
